township,township_en,township_mm,township_code_en,township_code_mm,state_code,state_en,state_mm,wiki_township_mm,wiki_township_en
KHAMAUKKYI,KHA MAUK KYI,ခမောက်ကြီး,KHAMAKA,ခမက,6,Tanintharyi,တနင်္သာရီတိုင်းဒေသကြီး,ခမောက်ကြီး,Khamaukgyi
KHAMPAT,KHAM PAT,ခမ်းပတ်,KHAPANA,ခပန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ခါမ်းပါတ်,Kham Pat
KHAUNGLANPHOO,KHAUNG LAN PHOO,ခေါင်လန်ဖူး,KHALAPHA,ခလဖ,1,Kachin,ကချင်ပြည်နယ်,ခေါင်လန်ဖူး,Khaunglanhpu
KHAWBUDAE,KHAW BU DAE,ခေါ်ဘူဒဲ,KHABADA,ခဘဒ,1,Kachin,ကချင်ပြည်နယ်,ခေါ်ဘူဒဲ,Hkawbude
KHAWZAR,KHAW ZAR,ခေါဇာ,KHAZANA,ခဇန,10,Mon,မွန်ပြည်နယ်,ခေါဇာ,Khawzar
KHAYAN,KHAYAN,ခရမ်း,KHAYANA,ခရန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ခရမ်း,Kayan
KHINU,KHIN U,ခင်ဦး,KHAOUNA,ခဥန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ခင်ဦး,Khin-U
KHOLAN,KHO LAN,ခိုလန်,KHALANA,ခလန,13,Shan,ရှမ်းပြည်နယ်,ခိုလမ်,Kho Lan
KONGYAN,KON GYAN,ကွမ်းယန်,KAKANA,ကကန,13,Shan,ရှမ်းပြည်နယ်,ကုန်းကြမ်း,Kon Gyan
KUME,KU ME,ကူမဲ,KAMANA,ကမန,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,ကူမဲ,Ku Me
KUNGYANGON,KUN GYAN GON,ကွမ်းခြံကုန်း,KAKHAKA,ကခက,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ကွမ်းခြံကုန်း,Kungyangon
KUNHING,KUN HING,ကွန်ဟိန်း,KAHANA,ကဟန,13,Shan,ရှမ်းပြည်နယ်,ကွန်ဟိန်း,Kunhing
KUNLON,KUN LON,ကွမ်းလုံ,KALATA,ကလတ,13,Shan,ရှမ်းပြည်နယ်,ကွမ်းလုံ,Kunlong
KUTKAI,KUT KAI,ကွက်ခိုင်,KAKHANA,ကခန,13,Shan,ရှမ်းပြည်နယ်,ကွတ်ခိုင်,Kut Kai
